"body","PR_ID","acknowledgement","action","apology","citation","code","commit","disagreement","emoji","greeting","offer","opinion","question","request","requirement","statement","suggestion","summon","thank","welcome"
"### Summary_x000D_
_x000D_
Zeitwork uses a default inflector that’s different than ActiveSupport’s to define which modules can be autoloader based on filesystem paths. If these two inflectors disagree on the filename<->constant conversion, then the modules created for autoloading can be named one thing and the actual constants defined in those files can be named something else. Because the ActiveSupport::Inflector can be customized, it’s possible for the two inflectors to disagree. In Rails 5, only the ActiveSupport::Inflector was used to constantize, so any exceptions applied to it in an initializer or whatever would apply to the autoloader as well. If we make Zeitwork use the ActiveSupport inflector, then they should agree again, and backwards compatibility should be maintained._x000D_
_x000D_
Zeitwork supports custom inflectors and expects it's `inflector` to have a very similar interface to ActiveSupports so I am guessing this was always intended (@fxn can probably say more), but I think the question is if this should be the default or not. I think it should because it maintains backwards compatibility with the way things worked with the classic autoloader, and it allows users one more notch of control over the ""magic"" constant discovery that Rails does. _x000D_
","C 0000026",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"### Summary_x000D_
Changes `a index` to `an index`","C 0000027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
"It seems that the reason why the `test_select_with_subquery_in_from_uses_original_table_name` does not pass is that the return value of `sqlite3_column_name()` is wrong due to subquery flattening._x000D_
_x000D_
This seems to have been fixed with 3.20.0(https://sqlite.org/changes.html#version_3_20_0)._x000D_
But CI uses the old version(maybe 3.11.0), I added `DISTINCT` to avoid optimization by subquery flattening._x000D_
_x000D_
Ref: https://sqlite.org/optoverview.html#flattening_x000D_
","C 0000028",1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
"This commit adds a finalizer just to inline templates.  We can't cache_x000D_
compilation of inline templates because it's possible that people could_x000D_
have render calls that look like this:_x000D_
_x000D_
```ruby_x000D_
loop do_x000D_
  render inline: ""#{rand}""_x000D_
end_x000D_
```_x000D_
_x000D_
and we would cache every one of these different inline templates.  That_x000D_
would cause a memory leak.  OTOH, we don't need finalizers on regular_x000D_
templates because we can cache, control, and detect changes to the_x000D_
template source._x000D_
_x000D_
Fixes: #35372_x000D_
","C 0000029",1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"This removes one call to `lookup_context` and also eliminates a_x000D_
conditional in `_render_template`._x000D_
","C 0000030",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"**Summary**_x000D_
This PR updates the callbacks skipping methods mentioned in the guides._x000D_
_x000D_
I recently came across code for `increment`,  `decrement` and `toggle` methods._x000D_
These methods are just updating the attribute, without persisting the changes in the database, and therefore, wont affect the object lifecycle._x000D_
_x000D_
On the other hand, methods `increment!` and `decrement!` persist the changes in the database without invoking any callbacks [The guide does not mentions them]","C 0000031",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"I want to start reducing the calls to `lookup_context`.  That method_x000D_
caches the lookup context in an ivar, but I would like to cache the_x000D_
lookup context on the stack.  That way we aren't coupled to the behavior_x000D_
of the `lookup_context` method.","C 0000032",0,1,0,0,0,0,0,0,0,0,3,0,0,2,0,1,0,0,0
"## Summary_x000D_
_x000D_
This change is to allow using `tzinfo-2.x` in a project that also includes `activesupport`._x000D_
_x000D_
## Other Information_x000D_
_x000D_
### Motivation_x000D_
_x000D_
Currently, the *bundle* for a project that uses both `activesupport` and `tzinfo-2.0` resolves to a much older version of activesupport (`v3.2.22.5` since that version doesn't have a dependency on `tzinfo`)","C 0000033",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"### Summary_x000D_
_x000D_
While looking at #35365 found that getting started doc has two migration files which had `ActiveRecord::Migration[5.0]` mentioned. Updated them to Rails 6.0_x000D_
_x000D_
I could see we have similar migration version at other places in the documentation. I would like to update those as well. Let me know if I should go ahead and update those as well._x000D_
","C 0000034",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
"Fixed description when n: n relation is implemented with `has_and_belongs_to_many`._x000D_
If  execute `collection.destroy (object, ...)`, I think the object associated with `collection` will be destroyed, but what about it?_x000D_
_x000D_
For example, it works as follows._x000D_
_x000D_
```_x000D_
$ @part.assemblies.include?(@assembly1)_x000D_
=> true_x000D_
$ @part.assemblies.destroy(@assembly1)_x000D_
$ @part.assemblies.include?(@assembly1)_x000D_
=> false_x000D_
```","C 0000035",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"With Zeitwerk 1.3.0 we can simplify a bit logging related code.","C 0000036",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"### Summary_x000D_
_x000D_
When using `select` with `'DISTINCT( ... )'` if you use method `size` on a non loaded relation it overrides the column selected by passing `:all` so it returns different value than count. _x000D_
_x000D_
Fixes #35214 ","C 0000037",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"This is caused by 0ee96d1._x000D_
_x000D_
Since #18744, `select` columns doesn't be qualified by table name if_x000D_
using `from`. 0ee96d1 follows that for `pluck` as well._x000D_
_x000D_
But people depends that `pluck` columns are qualified even if using_x000D_
`from`._x000D_
_x000D_
So I've fixed that to be qualified if `from` has the original table name_x000D_
to keep the behavior as much as before._x000D_
_x000D_
Fixes #35359._x000D_
_x000D_
cc @eileencodes ","C 0000038",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
"fixes #35351_x000D_
_x000D_
### Summary_x000D_
_x000D_
If a form with `rich_text_area` has the option set as `placeholder: true` and has a locale set for the form field then the placeholder text should be translated and shown. _x000D_
_x000D_
Example: _x000D_
```_x000D_
en:_x000D_
  activerecord:_x000D_
    attributes:_x000D_
      message:_x000D_
        title: Set a title for your message_x000D_
        content: Write your message_x000D_
```_x000D_
_x000D_
```_x000D_
<%= form_with(model: message) do |form| %>_x000D_
  <div class=""field"">_x000D_
    <%= form.label :title %>_x000D_
    <%= form.text_field :title, placeholder: true %>_x000D_
  </div>_x000D_
_x000D_
  <div class=""field"">_x000D_
    <%= form.label :content %>_x000D_
    <%= form.rich_text_area :content, placeholder: true %>_x000D_
  </div>_x000D_
<% end %>_x000D_
```_x000D_
_x000D_
#### Expected: _x000D_
`text_field` translate placeholder value and sets it to `Set a title for your message`. similarly, for `rich_text_area` should have translated placeholder._x000D_
","C 0000039",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Implicitly updating the lock version without knowing the current version_x000D_
is meaningless.","C 0000040",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"While we need some compatibility, I am exploring departing from `ActiveSupport::Dependencies` as public API in `:zeitwerk` mode._x000D_
_x000D_
`Rails.autoloaders` is gradually taking shape as an alternative, and_x000D_
_x000D_
```ruby_x000D_
Rails.autoloaders.logger = Rails.logger_x000D_
```_x000D_
_x000D_
goes in that direction. Let's see if this passes the test of time._x000D_
_x000D_
I will probably implement the `:debug` dance in Zeitwerk itself. Also, the test suite needs a reorganization. But for the time being this will suffice here for the next beta.","C 0000041",0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0
"### Add more two Brazilian times zones for the ActiveSupport::TimeZone::MAPPING._x000D_
_x000D_
The two new keys:_x000D_
    ""Manaus""                       => ""America/Manaus"",_x000D_
    ""Bahia""                          => ""America/Bahia"",_x000D_
_x000D_
These Time Zones are already available inside the TZInfo gem. Adding these two zones will help a lot._x000D_
_x000D_
### Tests_x000D_
_x000D_
These time zones are already tested inside the TZInfo.","C 0000042",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"# What changed_x000D_
_x000D_
I changed the variable name._x000D_
_x000D_
# Why this pull request_x000D_
_x000D_
Because rubecop's offense `Lint / ShadowingOuterLocalVariable` was detected in` activerecord / lib / active_record / relation / query_methods.rb`._x000D_
_x000D_
# What became of it_x000D_
_x000D_
## Before_x000D_
_x000D_
```_x000D_
$ rubocop activerecord/lib/active_record/relation/query_methods.rb _x000D_
Inspecting 1 file_x000D_
W_x000D_
_x000D_
Offenses:_x000D_
_x000D_
activerecord/lib/active_record/relation/query_methods.rb:1165:24: W: Lint/ShadowingOuterLocalVariable: Shadowing outer local variable - field._x000D_
            arg.map { |field, dir|_x000D_
                       ^^^^^_x000D_
_x000D_
1 file inspected, 1 offense detected_x000D_
```_x000D_
_x000D_
## After_x000D_
_x000D_
```_x000D_
$ rubocop activerecord/lib/active_record/relation/query_methods.rb _x000D_
_x000D_
Inspecting 1 file_x000D_
._x000D_
_x000D_
1 file inspected, no offenses detected_x000D_
```","C 0000043",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Since b21f50d8ae36d9b50b673579e17bccbe55363b34, requiring `active_storage` on its own has failed with the following error:_x000D_
_x000D_
    activestorage/lib/active_storage.rb:55:in `<module:ActiveStorage>': undefined method `minutes' for 5:Integer (NoMethodError)_x000D_
_x000D_
I discovered this while trying to get the rspec-rails test suite to pass on Rails master, as it [requires `active_storage` outside the context of a full application](https://github.com/rspec/rspec-rails/blob/7720e7b1c8c60f033a8e1f9c61f6ca12c84121f4/example_app_generator/spec/support/default_preview_path#L10).","C 0000044",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,"C 0000045",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
,"C 0000046",1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Currently, `ActionView::Base.new` will raise a `NotImplementedError` if given an instance of `ActionView::PathSet` on initialization. For example, `ActionController::Base.view_paths` will return an instance of `ActionView::PathSet` so the following will raise a `NotImplementedError `:_x000D_
_x000D_
`view = ActionView::Base.new(ActionController::Base.view_paths, assigns = {})`_x000D_
_x000D_
This commit prevents the raised error in favor of a deprecation warning._x000D_
_x000D_
@tenderlove Is it sufficient here to add this single `when ActionView::PathSet` to the case in `build_lookup_context` or are there other cases we also need to consider?","C 0000047",0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,1,0,0,0
"This reverts a fix that broke schemas in SQLite3, and applies a different fix to solve the same test case._x000D_
_x000D_
This fixes #35292._x000D_
_x000D_
Basically, when passing a symbol with a dot to `pluck`, we are expecting it to be a table + a column. MySQL and PostgreSQL handled it fine, because quoting `schema + table` is the same as quoting `table + column`: `""part1"".""part2""`. So a quote_table_name was being applied by pluck._x000D_
_x000D_
However, this is not the case in SQLite3, which wants `""schema.table"".""column""` (note the schema and table in the same quotes), and so would generate `""table.column""`. The applied logic is instead to check for a dot, and if found, to quote each part separately.","C 0000048",0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Follow up on comment https://github.com/rails/rails/pull/35327#discussion_r258489309_x000D_
_x000D_
@r? @matthewd ","C 0000049",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"This is a follow-up of #35310._x000D_
_x000D_
Currently `Topic.find_by(id: ""not-a-number"")` matches to a `id = 0`_x000D_
record. That is considered as silently leaking information._x000D_
_x000D_
If non numeric string is given to find by an integer column, it should_x000D_
not be matched to any record._x000D_
_x000D_
Related #12793.","C 0000050",0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0
"Follow on #35265_x000D_
_x000D_
Found that `RenderedCollection` class had attr_reader defined for `rendered_templates` but was not used. Refactored code to add reader for `spacer` and fixed the usage of it. _x000D_
_x000D_
@r? @tenderlove ","C 0000051",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
"With this patch we unhook `ActiveSupport::Dependencies` in `:zeitwerk` mode._x000D_
_x000D_
This doesn't make a difference for autoloadable constants, because `autoload` runs before `const_missing`, but when constants are missing the backtraces include `dependencies.rb`, which may be confusing. That also opens unnecessarily the door to potential gotchas, as seen in #35278.","C 0000052",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"We no longer depend on `rendered_format` side effects, so we can remove_x000D_
this method now. 🎉","C 0000053",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"Follow up on #35316._x000D_
_x000D_
Replaced the usage of `where().delete/destroy_all` with `delete/destroy_by`.","C 0000054",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Follow up on #35316. _x000D_
_x000D_
Added delegation test for `delete_by` and `destroy_by` methods._x000D_
_x000D_
@r? @kamipo ","C 0000055",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0
"Change 'happen' to a more technical term_x000D_
_x000D_
_x000D_
","C 0000056",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
